fein,employer_name,lca_count,certified_count,worksite_cities
26-3754942,ICE CLEAR CREDIT LLC,14,14,"Hoffman Estates,Chicago,CHICAGO,Schaumburg,Mount Prospect"
26-1328194,"Grubhub Holdings, Inc.",14,14,Chicago
20-8603306,"AmeriCloud Solutions, Inc.",14,14,"Chicago,Schaumburg"
94-3320693,"Salesforce, Inc.",13,12,"Schaumburg,Chicago,Bridgeview,Elk Grove Village"
94-2805249,"Oracle America, Inc.",13,13,"Deerfield,Chicago"
87-4603400,ROBOT INSIGHT TECHNOLOGIES,13,13,ROLLING MEADOWS
46-3867964,GANNU SOFTWARE INC,13,13,"PALATINE,SCHAUMBURG,SCHUAMBURG"
46-1314839,"Radix Trading, LLC",13,13,Chicago
36-6001019,Federal Home Loan Bank Chicago,13,13,Chicago
36-3722148,CIBC Bank USA,13,13,Chicago
36-2170833,Ann & Robert H. Lurie Children's Hospital of Chicago,13,13,Chicago
95-3790111,"Insurance Auto Auctions, Inc.",12,12,Westchester
95-3382344,Caremark LLC,12,12,"Chicago,Hoffman Estates,Des Plaines,Northbrook"
77-0368095,Mirage Software Inc. dba: Bourntec Solutions,12,12,Schaumburg
46-0925388,"Chime Financial, Inc.",12,12,Chicago
36-4486492,"Balyasny Asset Management, L.P.",12,12,Chicago
27-4780643,"Tiger Analytics, Inc.",12,9,"Wheeling,Chicago,SCHAUMBURG"
20-5367947,"Sunrise Futures, LLC",12,12,Chicago
87-2980048,"Cartera Consultants, LLC.",11,9,Chicago
77-0080465,"HERE North America, LLC",11,11,"Chicago,Evanston"
42-1530280,"IBS SOFTWARE AMERICAS, INC. (f/k/aIBS Software Services Americas, Inc.)",11,11,Chicago
36-3369778,Sumit Contruction Co Inc,11,10,Chicago
36-2947987,"Circana, LLC",11,11,Chicago
27-4269034,"Health Intelligence Company, LLC",11,11,Chicago
27-4079348,"Bectran, Inc.",11,11,Schaumburg
27-3548024,"Valtech Solutions, LLC",11,10,"Chicago,Buffalo Grove,Arlington Heights,Plano"
26-3080141,Gantec Publishing Solutions LLC,11,11,Schaumburg
26-1539797,UST Global Inc,11,11,"CHICAGO,SCHAUMBURG"
94-3282454,UL LLC,10,10,Northbrook
88-1639559,"Team TAG Services, LLC",10,9,Chicago
80-0959280,"Team Belvedere, LLC",10,10,Chicago
72-0210640,"Capital One, National Association",10,10,Chicago
52-2200060,"Arthur J. Gallagher Service Company, LLC",10,10,"Rolling Meadows,Chicago"
36-2170137,Institute of Gas Technology,10,10,Des Plaines
36-1785381,"Skidmore, Owings & Merrill LLP",10,10,"Chicago,CHICAGO"
36-1747665,S&C ELECTRIC COMPANY,10,9,Chicago
27-3596010,"Zoro Tools, Inc.",10,10,Chicago
22-3658826,Genpact LLC,10,10,"Hoffman Estates,Palatine,Chicago"
20-0302099,Compass Lexecon LLC,10,10,Chicago
13-3974563,"Fitch Ratings, Inc.",10,10,Chicago
04-2372210,"CRA International, Inc.",10,10,Chicago
99-1940690,Rush Medical Group,9,9,Chicago
87-2323326,CITADEL AMERICAS SERVICES LLC,9,9,Chicago
87-2099836,"Tate & Lyle Solutions USA, LLC",9,9,Hoffman Estates
86-1328639,ISPERO LLC,9,9,Arlington Heights
85-0629912,"Wolters Kluwer DXG U.S., Inc.",9,9,Chicago
84-5108832,Nielsen Consumer LLC,9,9,Chicago
81-4127079,Emonics LLC,9,8,Chicago
56-2633028,"NETWORK OBJECTS, INC.",9,9,Hoffman Estates
52-2010575,"TEKsystems, Inc.",9,9,Chicago
47-4921463,"BOFA SECURITIES, INC.",9,9,Chicago
41-1815880,"LexisNexis Risk Solutions FL, Inc.",9,9,"Schaumburg,Evanston,Chicago,Wheeling,Des Plaines"
36-4207170,Enfusion Ltd. LLC,9,9,Chicago
36-4002001,Lycee Francais de Chicago,9,9,Chicago
36-2085229,BMO Bank N.A.,9,9,Chicago
30-1337983,RJ Systems Inc,9,9,Chicago
20-2056195,"ServiceNow, Inc.",9,9,Chicago
13-4117630,OMD USA LLC,9,9,Chicago
13-1251070,"Thornton Tomasetti, Inc.",9,9,Chicago
11-2167170,Stantec Consulting Services Inc.,9,9,Chicago
99-1856619,Grant Thornton Advisors LLC,8,8,Chicago
95-2661922,"AECOM Technical Services, Inc.",8,8,Chicago
94-3326476,"ExlService.com, LLC",8,7,"Chicago,Schaumburg"
92-0385732,PwC US Consulting LLP,8,8,Chicago
87-4687444,DYVICC INC,8,8,Hoffman Estates
87-4248285,"Fitch Group Services, Inc.",8,8,Chicago
86-1120938,"SG Americas Operational Services, LLC",8,8,"Chicago,CHICAGO"
81-0658690,Focus Core Inc,8,8,"Hoffman Estates,HOFFMAN ESTATES"
71-0427007,Federal Express Corporation,8,8,"Chicago,Northbrook,Schaumburg,Bedford Park"
52-2126008,Popular Bank,8,8,Rosemont
47-4345381,"Supernova Lending, LLC",8,8,Chicago
47-3565084,iManage LLC,8,8,Chicago
45-4240869,"Biztegy Analytics, Inc",8,8,"Arlington Heights,ARLINGTON HEIGHTS"
42-1651399,Whiztek Corp,8,8,"palatine,Palatine"
36-4364378,Interlake Mecalux Inc.,8,8,Melrose Park
36-4201657,"Peterson Technology Partners, Inc.",8,8,"Chicago,Rosemont,Park Ridge"
36-3317058,ACCESS Community Health Network,8,8,"Evanston,Chicago,Des Plaines,Cicero"
33-3770772,SFS IT SERVE LLC,8,8,Chicago
27-0903295,"Groupon, Inc.",8,8,"Chicago,Chicago, IL 60601"
26-2080179,ThoughtLine Technologies Inc.,8,8,"Schaumburg,Des Plaines,DES PLAINES"
20-5446972,Cboe Global Markets Inc.,8,8,Chicago
20-1665019,"Meta Platforms, Inc",8,8,"Chicago,Morton Grove"
20-1647533,Calamos Advisors LLC,8,8,"Naperville,Chicago"
13-3937419,GOLDMAN SACHS SERVICES LLC,8,8,"CHICAGO,Chicago"
11-3360065,ROTH & COMPANY LLP,8,8,"CHICAGO,Chicago"
98-1289949,Adyen N.V.,7,6,Chicago
94-1737782,"Charles Schwab & Company, Inc.",7,7,Chicago
88-0603418,"BLUEBRIS SYSTEMS, INC.",7,7,"NILES,CHICAGO"
86-1432226,Collabera LLC,7,7,Chicago
86-1248202,"Lactalis Heritage Dairy, inc.",7,7,"CHICAGO,Chicago"
82-2979008,"Fetch Rewards, LLC",7,7,Chicago
81-1759113,BLACKBUCK INSIGHTS LLC,7,7,"Chicago,Schaumburg"
77-0205035,HCL AMERICA INC,7,7,"Hoffman Estates,Rolling Meadows,Rosemont,Chicago"
45-5002379,GAC Solutions Inc,7,7,Schaumburg
38-3637158,"AlixPartners, LLP",7,7,Chicago
38-3440867,Roland Berger LP,7,7,Chicago
36-4801165,Relativity ODA LLC,7,7,"Chicago,Schaumburg"
36-4402926,Kalven Technologies Inc.,7,7,"Schaumburg,Chicago,SCHAUMBURG,Elk Grove Village"
36-4373916,Vuegen Technologies Inc,7,7,Hoffman Estates
36-4330915,"Gelber Group, LLC",7,7,Chicago
36-4317381,"Morningstar Investment Management, LLC",7,6,Chicago
36-2167725,The School of the Art Institute of Chicago,7,7,Chicago
30-0701414,"Vertex Consulting Services, Inc.",7,7,Schaumburg
27-0465600,"Stripe, Inc.",7,7,"Chicago,Hoffman Estates,CHICAGO"
26-4649607,Epcot Technologies Inc,7,7,"Arlington Heights,Chicago"
26-4399608,Geval6 Inc,7,6,"Hoffman Estates,Schaumburg,Schaimburg,HOFFMAN ESTATES"
26-3305132,"RANDSTAD DIGITAL, LLC",7,7,"Des Plaines,Chicago,Hanover Park,Wheeling,Arlington Heights"
26-2377550,"Rehab Maxx, LLC",7,7,Arlington Heights
26-1595904,UOP LLC,7,7,"Rosemont,DES PLAINES,Des Plaines"
26-0116361,Morgan Stanley Services Group Inc.,7,7,Chicago
25-1613591,"Gannett Fleming, Inc.",7,7,Chicago
22-3239723,"ITC INFOTECH (USA), INC.",7,6,Chicago
20-8775560,"Insight Global, LLC",7,7,"Chicago,Buffalo Grove"
20-8058042,"Arclight Wireless, LLC",7,7,Chicago
20-5795665,Adrian Smith & Gordon Gill Architecture LLP,7,6,Chicago
13-4144544,"Next Generation Technology, Inc",7,7,Schaumburg
13-3366161,Milwaukee Electric Tool Corporation,7,7,Chicago
13-2730828,"Deutsche Bank Securities, Inc.",7,6,Chicago
11-1531569,WSP USA Inc.,7,7,"CHICAGO,Chicago"
06-1236737,Synchrony Bank,7,7,Chicago
04-3254813,The Brattle Group,7,7,Chicago
02-0629848,Egencia LLC,7,7,Chicago
99-2848079,CVS Shared Services Resources LLC,6,6,"Evanston,Glenview,Hoffman Estates,Chicago"
99-2278401,CRESCENT IT SOLUTIONS INC,6,4,"DES PLAINES,CHICAGO"
95-4081636,"Jacobs Engineering Group, Inc.",6,6,"Chicago,CHICAGO"
94-3177549,NVIDIA Corporation,6,6,"Evanston,Chicago,Northbrook"
94-3092543,"Cornerstone Research, Inc.",6,5,"CHICAGO,Chicago"
94-1598707,T.Y. Lin International,6,6,Chicago
92-2203894,"REHAB MAXX THERAPY SERVICES, LLC",6,6,Arlington Heights
92-2144211,United Info Services Inc,6,6,Schaumburg
84-3419336,"ProcDNA, Inc.",6,6,Chicago
84-2129783,Epsilon Data Management LLC,6,6,Chicago
84-1246887,"Slalom, Inc.",6,6,Chicago
83-4359428,Inclass Academy LLC,6,6,Schaumburg
83-3319660,Transform SR Holding Management LLC,6,5,Hoffman Estates
83-2213010,Aquatic Group LLC,6,6,Chicago
82-0944058,IM Global LLC,6,6,Elk Grove Village
81-2233356,Zion Cloud Solutions LLC,6,6,Glenview
76-0532643,"V-Soft Consulting Group, INC",6,5,"Arlington Heights,Chicago,Schaumburg"
62-1147325,US Cellular Corporation,6,6,Chicago
46-5079480,NITOR INFOTECH INC,6,5,"SCHAUMBURG,CHICAGO"
46-2852392,"DoorDash, Inc.",6,6,Chicago
38-3374137,Innovative Consulting Solutions LLC,6,6,Schaumburg
36-4450252,"Reflection Window Company, LLC",6,6,Chicago
36-4246252,Studio Gang Architects Ltd.,6,6,"Chicago,CHICAGO"
36-4168071,ABN AMRO Clearing USA LLC,6,6,Chicago
36-3279680,"Lurie Children's Medical Group, Inc.",6,6,Chicago
36-2836998,"Pilsen-Little Village Community Mental Health Center, Inc.",6,6,Chicago
36-2690384,"Perkins & Will, Inc.",6,6,Chicago
