fein,employer_name,lca_count,certified_count,worksite_cities,worksite_counties
27-3548024,"Valtech Solutions, LLC",13,12,"Chicago,Buffalo Grove,Arlington Heights,Mckinney,Plano,Naperville","COOK,MCHENRY,WILL"
95-3790111,"Insurance Auto Auctions, Inc.",12,12,Westchester,COOK
77-0368095,"Mirage Software Inc. dba: Bourntec Solutions",12,12,Schaumburg,COOK
77-0080465,"HERE North America, LLC",12,12,"Chicago,Evanston","COOK,KANE"
46-0925388,"Chime Financial, Inc.",12,12,Chicago,COOK
36-4486492,"Balyasny Asset Management, L.P.",12,12,Chicago,COOK
36-2675536,"Zebra Technologies Corporation",12,12,"Lincolnshire,Mundelein,Chicago,Buffalo Grove","LAKE,COOK"
27-4780643,"Tiger Analytics, Inc.",12,9,"Wheeling,Chicago,SCHAUMBURG",COOK
26-3665565,"People Tech Group, Inc",12,11,"Lake Villa,Mundelein,Oak Brook,Lake villa","LAKE,DUPAGE"
20-5367947,"Sunrise Futures, LLC",12,12,Chicago,COOK
20-2056195,"ServiceNow, Inc.",12,12,"Chicago,Buffalo Grove,Hinsdale,Mundelein","COOK,LAKE,DUPAGE"
13-3577870,"Wolters Kluwer United States Inc.",12,12,"Chicago,Riverwoods,Schaumburg","COOK,LAKE"
94-3326476,"ExlService.com, LLC",11,10,"Chicago,Schaumburg,Riverwoods,Downers Grove","COOK,LAKE,DUPAGE"
94-3282454,"UL LLC",11,11,"Northbrook,Mundelein","COOK,LAKE"
87-2980048,"Cartera Consultants, LLC.",11,9,Chicago,COOK
42-1530280,"IBS SOFTWARE AMERICAS, INC. (f/k/aIBS Software Services Americas, Inc.)",11,11,Chicago,COOK
36-3684738,"Uline, Inc.",11,11,Waukegan,LAKE
36-3369778,"Sumit Contruction Co Inc",11,10,Chicago,COOK
36-2947987,"Circana, LLC",11,11,Chicago,COOK
33-1187432,"The Ayco Company, L.P., a Goldman Sachs Company",11,11,"Chicago,Deerfield","COOK,LAKE"
27-4269034,"Health Intelligence Company, LLC",11,11,Chicago,COOK
27-4079348,"Bectran, Inc.",11,11,Schaumburg,COOK
26-3305132,"RANDSTAD DIGITAL, LLC",11,11,"Aurora,Glendale Heights,Lake Villa,Des Plaines,Chicago,Hanover Park,Wheeling,Arlington Heights,Naperville","DUPAGE,LAKE,COOK,WILL"
26-3080141,"Gantec Publishing Solutions LLC",11,11,Schaumburg,COOK
20-1647533,"Calamos Advisors LLC",11,11,"Naperville,Chicago","COOK,DUPAGE"
92-0348533,"Axiom Group LLC",10,10,"Oak Brook",DUPAGE
88-1639559,"Team TAG Services, LLC",10,9,Chicago,COOK
87-2320720,"SolveIT Services Inc",10,10,"Naperville,Chicago,Schaumburg,Buffalo Grove,Aurora","DUPAGE,COOK,LAKE"
84-5108832,"Nielsen Consumer LLC",10,10,"Bolingbrook,Chicago","WILL,COOK"
84-4629034,"Lumi Minds Inc",10,10,Naperville,"WILL,COOK,DUPAGE"
80-0959280,"Team Belvedere, LLC",10,10,Chicago,COOK
80-0805709,"AbbVie US LLC",10,10,"Mettawa,METTAWA,NORTH CHICAGO,North Chicago",LAKE
76-0724148,"Sri Technologies, Inc.",10,10,Naperville,DUPAGE
72-0210640,"Capital One, National Association",10,10,Chicago,COOK
71-0427007,"Federal Express Corporation",10,10,"Chicago,Northbrook,Aurora,Buffalo Grove,Schaumburg,Bedford Park","COOK,DUPAGE,LAKE"
52-2200060,"Arthur J. Gallagher Service Company, LLC",10,10,"Rolling Meadows,Chicago",COOK
47-4047975,"Vastek Inc",10,10,"Vernon Hills,Buffalo Grove,North Chicago",LAKE
45-5002379,"GAC Solutions Inc",10,10,"Aurora,Schaumburg","DUPAGE,COOK"
45-4683454,"Optum Services, Inc.",10,10,"Schaumburg,Downers Groove,Naperville,ALGONQUIN,Arlington Heights,EVANSTON,Plainfield,Mundelein","COOK,DUPAGE,WILL,MCHENRY,LAKE"
41-1941945,"Ecolab USA Inc.",10,10,"Chicago,Naperville","COOK,DUPAGE"
41-1815880,"LexisNexis Risk Solutions FL, Inc.",10,10,"Schaumburg,Evanston,Chicago,Wheeling,Aurora,Des Plaines","COOK,DUPAGE"
36-4801165,"Relativity ODA LLC",10,10,"Chicago,Schaumburg,Naperville,Aurora","COOK,DUPAGE"
36-2684803,"Governors State University",10,10,"University Park",WILL
36-2170137,"Institute of Gas Technology",10,10,"Des Plaines",COOK
36-2085229,"BMO Bank N.A.",10,10,"Chicago,Naperville","COOK,DUPAGE"
36-1785381,"Skidmore, Owings & Merrill LLP",10,10,"Chicago,CHICAGO",COOK
36-1747665,"S&C ELECTRIC COMPANY",10,9,Chicago,COOK
36-0938600,"Commonwealth Edison, An Exelon Company",10,10,"ELGIN,Chicago,Oakbrook Terrace,Oak Brook","KANE,COOK,DUPAGE"
27-3596010,"Zoro Tools, Inc.",10,10,Chicago,COOK
27-1703575,"66degrees, LLC",10,9,"Chicago,CHICAGO,HOMER GLEN,Homer Glen","COOK,WILL"
20-0302099,"Compass Lexecon LLC",10,10,Chicago,COOK
13-3974563,"Fitch Ratings, Inc.",10,10,Chicago,COOK
13-2857434,"CA, Inc.",10,10,Lisle,DUPAGE
04-2372210,"CRA International, Inc.",10,10,Chicago,COOK
99-1940690,"Rush Medical Group",9,9,Chicago,COOK
94-3177549,"NVIDIA Corporation",9,9,"Plainfield,Evanston,Chicago,Northbrook,Naperville,Waukegan","WILL,COOK,LAKE"
88-0547189,"Orbitz Technologies Inc",9,9,"Lombard,LOMBARD",DUPAGE
87-2323326,"CITADEL AMERICAS SERVICES LLC",9,9,Chicago,COOK
87-2099836,"Tate & Lyle Solutions USA, LLC",9,9,"Hoffman Estates",COOK
86-1328639,"ISPERO LLC",9,9,"Arlington Heights",COOK
85-0629912,"Wolters Kluwer DXG U.S., Inc.",9,9,Chicago,COOK
81-4127079,"Emonics LLC",9,8,Chicago,COOK
76-0532643,"V-Soft Consulting Group, INC",9,8,"Riverwoods,Oak Brook,Naperville,Arlington Heights,Chicago,Schaumburg","LAKE,DUPAGE,COOK"
56-2633028,"NETWORK OBJECTS, INC.",9,9,"Hoffman Estates",COOK
52-2010575,"TEKsystems, Inc.",9,9,Chicago,COOK
47-4921463,"BOFA SECURITIES, INC.",9,9,Chicago,COOK
46-2951591,"L&T Technology Services Limited",9,9,"Chicago,Oak Brook,Naperville,Buffalo Grove,McCook","COOK,DUPAGE,LAKE"
45-4327288,"ARTHA DATA SOLUTIONS LLC",9,9,Naperville,DUPAGE
42-1651399,"Whiztek Corp",9,9,"palatine,Palatine,Buffalo Grove","COOK,LAKE"
36-4207170,"Enfusion Ltd. LLC",9,9,Chicago,COOK
36-4012477,"Pine Tree Commercial Realty, LLC",9,9,"Oakbrook Terrace",DUPAGE
36-4002001,"Lycee Francais de Chicago",9,9,Chicago,COOK
36-3959691,"Gamma Technologies LLC",9,8,Westmont,DUPAGE
36-3932498,"NAV CONSULTING INC.",9,9,"OAKBROOK TERRACE,Oakbrook Terrace",DUPAGE
33-1791871,"Navi Technologies Inc",9,9,"Riverwoods,Skokie,SKOKIE,OAK BROOK,ITASCA,LISLE","LAKE,COOK,DUPAGE"
30-1337983,"RJ Systems Inc",9,9,Chicago,COOK
