fein,employer_name,lca_count,certified_count,worksite_cities,worksite_counties
90-0077938,"Infotrend Inc",1,1,Chicago,COOK
88-4420449,"Huron Research",1,1,Chicago,COOK
88-4365427,"HTP Consulting Services LLC",1,1,Lombard,DUPAGE
88-4149655,"SHIFA GLOBAL SOLUTIONS LLC",1,1,Chicago,COOK
88-4133817,"Praana Inc.",1,1,Chicago,COOK
88-4107881,"Belay Diagnostics LLC",1,1,Chicago,COOK
88-4090530,"I-TECHOPS LLC",1,1,Naperville,DUPAGE
88-4048978,"Whale Supply LLC",1,0,Northbrook,COOK
88-3950524,"Comfortliv LLC",1,1,Chicago,COOK
88-3944951,"Avis Global IT Solutions, Inc",1,1,Chicago,COOK
88-3922466,"LIBERTY LAW FIRM",1,1,NAPERVILLE,WILL
88-3825106,"Kameli Law P.C.",1,1,Chiacgo,COOK
88-3802064,"Global Homecare Services, Inc.",1,1,Chicago,COOK
88-3790886,"Holocene Acquisition II LLC",1,1,Romeoville,WILL
88-3755523,"V-Outsourcing LLC",1,1,Norridge,COOK
88-3550462,"Perplexity AI, Inc.",1,1,Chicago,COOK
88-3515479,"Qualtrix Professional Services and Consulting Inc",1,1,Schaumburg,COOK
88-3491789,"OReilly Technology Services, Inc.",1,1,Aurora,DUPAGE
88-3417573,"SV TEK GROUP INC.",1,1,CHICAGO,COOK
88-3330978,"Mas Tek IT, LLC",1,1,Chicago,COOK
88-3055193,"SageArk LLC",1,1,Chicago,COOK
88-2946246,"SHIMMER SMILE DENTISTRY LLC",1,1,"Des Plaines",COOK
88-2893488,"Aanvi Cloud Technologies Inc",1,1,Chicago,COOK
88-2836647,"Energativ Solutions LLC",1,1,Elmhurst,DUPAGE
88-2812857,"Digityx Solutions Inc.",1,1,Chicago,COOK
88-2703968,"Perficientcorp INC",1,1,"Arlington Heights",COOK
88-2684348,"Quaking Aspen Inc.",1,1,Chicago,COOK
88-2608929,"ARCANE SYSTEMS INC",1,1,CHICAGO,COOK
88-2427345,"Caresoft Global Technologies Inc",1,1,Huntley,MCHENRY
88-2383241,"Valent North America LLC",1,1,Libertyville,LAKE
88-2243510,"Teksolve IT Solutions LLC",1,1,Chicago,COOK
88-2031964,"AK4 Networks LLC",1,1,Naperville,DUPAGE
88-2030109,"Visint, Inc.",1,1,Lombard,DUPAGE
88-2002005,"DIT Chicago Corp",1,1,"Elk Grove Village",COOK
88-1962054,"MORNINGSIDE OPERATING GROUP, LLC",1,1,SCHAUMBURG,COOK
88-1951657,"Strong Point Consulting LLC",1,1,Naperville,WILL
88-1509516,"Altera Digital Health Inc.",1,1,Chicago,COOK
88-1343088,"Bitbyte Solutions LLC",1,1,Northbrook,COOK
88-1214636,"Elite IT Solutions Inc",1,1,Schaumburg,COOK
88-0959399,"Heptaware Technologies, Inc.",1,1,Lisle,DUPAGE
88-0924881,"REX Technology Solutions Inc.",1,1,Naperville,DUPAGE
88-0920716,"New Einsteins - Logan Square INC",1,1,CHICAGO,COOK
88-0893276,"Broad Peak Systems Inc",1,1,Chicago,COOK
88-0892853,"The Shyft Group EV Solutions, LLC",1,1,Naperville,WILL
88-0817524,"Geminisoft Solutions Inc.",1,1,Chicago,COOK
88-0777927,"TekServs Cons Ltd. Co.",1,1,"North Chicago",LAKE
88-0712559,"American Technology Experts Inc",1,1,Chicago,COOK
88-0623879,"Cosmic Healthcare, LLC",1,1,Evanston,COOK
88-0608550,"AKAMAITEK LLC",1,1,Lombard,DUPAGE
88-0592704,"RP Innovations LLC",1,1,Chicago,COOK
88-0568448,"DevAppsIT LLC",1,1,"Buffalo Grove",LAKE
88-0294532,"Interactive Communications International, Inc.",1,1,"Rolling Meadows",COOK
88-0062109,IGT,1,1,AURORA,KANE
87-4717651,"Tiflis Transportation Inc",1,1,Naperville,DUPAGE
87-4706092,"Privilege IT, LLC",1,1,Waukegan,LAKE
87-4634369,"Metiz Technologies LLC",1,1,Chicago,COOK
87-4530255,"Advanced Surgery & Wellness",1,1,Elgin,KANE
87-4504255,"Capital IT Solutions INC",1,1,Naperville,DUPAGE
87-4367689,"Tekcog Inc",1,1,"Downers Grove",DUPAGE
87-4348310,"Tek Rubix LLC",1,1,"Des Plaines",COOK
87-4285692,"PlayMonster Group, LLC",1,1,Chicago,COOK
87-4204230,"Shrive Solutions LLC",1,1,Chicago,COOK
87-4110793,"Safwanayat Consulting Inc",1,1,"Des Plaines",COOK
87-4080385,"Destin IT Solutions Inc",1,1,Schaumburg,COOK
87-4075493,"Forecastex LLC",1,1,Chicago,COOK
87-4069882,"GET ONE GEEK LLC",1,1,"FRANKLIN PARK",COOK
87-4019375,"SRD TECHNOLOGY SERVICES INCORPORATED",1,1,"Buffalo Grove",LAKE
87-3955674,"Lee CPAs & Associates, LLC",1,1,Deerfield,LAKE
87-3941033,"Bioethic Consulting DBA Viltis",1,1,Richmond,MCHENRY
87-3924201,"Parceljet Information Technology LLC",1,1,Montgomery,KANE
87-3893745,"IV Therapy Solutions, LLC",1,1,Lincolnwood,COOK
87-3865858,"MeTabi, Inc.",1,1,"Rolling Meadows",COOK
87-3833203,"Aveksha Prevention Services Inc.",1,1,"Hoffman Estate",COOK
87-3691093,"MARKT-PILOT, Inc.",1,1,Chicago,COOK
87-3664263,"Elivy Youth Performing Arts Institute",1,1,Chicago,COOK
87-3591199,"OSS Global Inc.",1,1,Chicago,COOK
87-3564297,"Clarity Ventures Group LLC",1,1,Roselle,DUPAGE
87-3513335,"Corient Services LLC",1,1,Chicago,COOK
87-3354599,"DOLPHINS IT SOLUTIONS LLC",1,1,Chicago,COOK
87-3352553,"ITARKS INC",1,0,Naperville,DUPAGE
87-3210428,"Finovax Technologies Inc.",1,1,Chicago,COOK
87-3170180,"Luo & Long General Partner LLC",1,1,Chicago,COOK
87-3133139,".Design Group JEDI Incorporated",1,0,Chicago,COOK
87-3121298,"BCVS Group",1,1,"North Chicago",LAKE
87-3065408,"Ni2 Health Inc.",1,1,Chicago,COOK
87-3061878,"Sira Soft Solutions Inc",1,1,Northbrook,COOK
87-2928157,"Home Depot Management Company LLC",1,1,Chicago,COOK
87-2845698,"ATLANTIC UNION INC",1,1,Naperville,DUPAGE
87-2801760,"SHINYRISE PLLC",1,1,Chicago,COOK
87-2801578,"SASInfo Inc",1,1,Northfield,COOK
87-2759309,"MPowered Capital LLC",1,1,Chicago,COOK
87-2680818,"Driven Tech, Inc.",1,1,Plainfield,WILL
87-2678749,"Yictory Health Inc.",1,1,"Oak Brook",DUPAGE
87-2615874,"Ovogene Inc.",1,1,"Long Grove",LAKE
87-2537541,"Wenda Ingredients, LLC",1,1,Naperville,DUPAGE
87-2466417,"AKSAI LLC",1,1,Naperville,DUPAGE
87-2369377,"MapsITSolutions LLC",1,1,"Buffalo Grove",LAKE
87-2335443,"ABCS INSIGHTS INC",1,1,"Hoffman Estates",COOK
87-2328973,"Cleversmiths Inc",1,1,Chicago,COOK
87-1990945,"UltraViolet Cyber, Inc.",1,1,Elgin,KANE
87-1933592,"Trina Energy Storage Solutions US Inc.",1,1,Chicago,COOK
87-1881091,"ACCELLERON US INC.",1,1,Bolingbrook,WILL
87-1814584,"Haus Analytics, Inc",1,1,CHICAGO,COOK
87-1794182,"Boston Identity LLC",1,1,Aurora,WILL
87-1645753,"tastylive, Inc.",1,1,Chicago,COOK
87-1631677,"Brooks Automation US, LLC",1,1,Aurora,WILL
87-1610543,"Lightsource Labs Inc.",1,1,Hinsdale,DUPAGE
87-1609035,"EAGLE PRIDE SERVICES Inc",1,1,Naperville,DUPAGE
87-1604706,"ORACLE ROBOTICS CORP",1,1,CHICAGO,COOK
87-1451618,"XDC Global",1,1,Schaumburg,COOK
87-1408521,"Valar Labs Inc.",1,1,"Oak Brook",DUPAGE
87-1353108,"Eisner Advisory Group LLC",1,1,Elgin,COOK
87-1020853,"Dave Operating LLC",1,1,Naperville,WILL
87-0969637,"RUTECH INC.",1,1,Chicago,COOK
87-0717988,"HP Tuners LLC",1,1,"Buffalo Grove",LAKE
87-0660875,"Conservice, LLC",1,1,Chicago,COOK
86-3936742,"Kimberly-Clark USA, LLC",1,1,Chicago,COOK
86-3872888,"Nile Group",1,1,Chicago,COOK
86-3752654,"Kok & Jing LLC",1,1,Chicago,COOK
86-3594930,"TeckFortune Inc",1,1,Schaumburg,COOK
86-3322102,"Alphaton Technologies LLC",1,1,"Oakbrook Terrace",COOK
86-3280337,"Cercle AI, Inc.",1,1,Lisle,DUPAGE
86-3242765,"Virtuous Tech Inc",1,1,"Prospect Heights",COOK
86-3239953,"Euniverse Technologies LLC",1,1,Lisle,DUPAGE
86-3225295,"KUMANDRA INC.",1,1,Lombard,DUPAGE
86-3210964,"EVERLAKE SERVICES COMPANY",1,1,Northbrook,COOK
86-3192623,"RACKERA INC",1,1,Wheeling,COOK
86-3148950,"Pyrovio LLC",1,1,Chicago,COOK
86-2880397,"Simply E&C Corporation",1,1,Chicago,COOK
86-2677039,"PRN IT Corp",1,1,Barrington,LAKE
86-2625038,"The Law Office of Cash Fazal, PLLC",1,0,Remote,COOK
86-2587584,"Toasty Video, LLC",1,1,Chicago,COOK
86-2336396,"WAL LAYL LLC",1,1,"DES PLAINES",COOK
86-2254215,"Temperature Equipment Corp Distribution LLC",1,1,Lansing,COOK
86-2198750,"UncommonX Inc.",1,1,Chicago,COOK
86-2107678,"United Fortune IT Solutions",1,1,Aurora,DUPAGE
86-2055283,"Claritas Rx Inc.",1,1,Chicago,COOK
86-1943786,"Savvients Inc",1,1,Chicago,COOK
86-1921073,"Quber, Inc.",1,1,Rosemont,COOK
86-1867881,"Famous Technologies INC",1,1,Mundelein,LAKE
86-1831038,"CSCGH Shared Services, LLC",1,1,Chicago,COOK
86-1751082,"Lumera Inc",1,1,Chicago,COOK
86-1744083,"KAD Engineering PLLC",1,1,"Downers Grove",DUPAGE
86-1626552,"SECURE SOURCE AMERICA LLC",1,1,Lemont,COOK
86-1601721,"Hope Diagnostic and Wellness Center",1,1,"Hickory Hills",COOK
86-1588941,"Varis, Inc.",1,1,Naperville,DUPAGE
86-1465743,"BBM America LLC",1,1,Chicago,COOK
86-1442615,"Sol Psychology",1,1,Chicago,COOK
86-1439786,"Cloud9Tech LLC",1,1,Chicago,COOK
86-1418030,"MB Foods LLC",1,1,Elmhurst,DUPAGE
86-1377241,"Cognine, Inc.",1,1,Schaumburg,COOK
86-1280797,"Econ Tech LLC",1,1,"Hawthorn Woods",LAKE
86-1166603,"Pristine Embed Technologies Inc.",1,1,Chicago,COOK
86-1118383,"Cinergy Technology, Inc",1,1,Chicago,COOK
86-1060535,"Mannheim Medical Associates, Ltd.",1,1,"Franklin Park",COOK
86-1052604,"COREY DUNNE PC",1,1,CHICAGO,COOK
86-0873742,"Perennial Management Corporation",1,1,Chicago,COOK
86-0858894,"Malla Systems, Inc.",1,1,Chicago,COOK
86-0832529,"Troon Golf, LLC",1,1,Chicago,COOK
86-0652659,"PSEMI CORPORATION",1,1,"Arlington Heights",COOK
86-0138899,"Best Western International, Inc.",1,1,"Prospect Heights",COOK
86-0121436,"CHANEN CONSTRUCTION COMPANY INC",1,1,Chicago,COOK
85-4368155,"Burgeon, Inc.",1,1,Plainfield,WILL
85-4227974,"Sinfralogix LLC",1,1,Chicago,COOK
85-4191886,"LendingClub Bank National Association",1,1,"Vernon Hills",LAKE
85-4183920,"NUBUSTECHNO INC",1,1,ROSELLE,COOK
85-4104405,"ZENVIRO TECH US INC",1,1,"HOFFMAN ESTATES",COOK
85-4102472,"Onbe, Inc.",1,1,"Buffalo Grove",LAKE
85-4032528,"Clayens NP USA Inc.",1,1,"Crystal Lake",MCHENRY
85-3914086,"Fencing Supply Group Acquisition, LLC",1,1,Elburn,KANE
85-3897973,"AMETEK Magnetrol USA, LLC",1,1,Aurora,DUPAGE
85-3889088,"TROVA AI INC.",1,1,CHICAGO,COOK
85-3738016,"BlackRock Construction Services, LLC",1,1,Westmont,DUPAGE
85-3652472,"OREMDA INFOTECH INC.",1,1,CHICAGO,COOK
85-3474212,"Vikash Huliyar DDS MS PLLC",1,1,Chicago,COOK
85-3448278,"LSC Communications Book, LLC",1,1,Warrenville,DUPAGE
85-3379818,"Founders Law LLC",1,1,Chicago,COOK
85-3355112,"Xadel IT, INC.",1,1,"Des Plaines",COOK
85-3297447,"Vantage Services LLC",1,1,Chicago,COOK
85-3290847,"IMI Norgren LLC",1,1,"University Park",WILL
85-3191683,"Belle Aire Holdings LLC",1,1,"Round Lake Park",LAKE
85-3124915,"GURU CONSULTING SERVICES LLC",1,1,CHICAGO,COOK
85-3118461,"Dental Care Center Justice LLC",1,1,Justice,COOK
85-3096356,"Infinity Tax Solutions, Inc.",1,1,"Hoffman Estates",COOK
85-2962942,"Universal Processing Chicago LLC",1,1,Chicago,COOK
85-2723713,"Techigai Inc",1,1,Naperville,DUPAGE
85-2695972,"Savvi AI, Inc.",1,1,Chicago,COOK
85-2648192,"ASPEN SOLUTIONS LLC",1,1,NAPERVILLE,DUPAGE
85-2642913,"Formic Technologies, Inc.",1,1,Woodridge,DUPAGE
85-2618805,"Excel Associates LLC",1,1,Deerfield,LAKE
85-2494708,"SBAS IT SYSTEMS INC",1,1,SCHAUMBURG,COOK
85-2438118,"Exeliq Reality LLC",1,1,Schaumburg,COOK
85-2429621,"Acetech Group Corporation",1,1,Chicago,COOK
85-2407580,"Rishi Productions, LLC",1,1,Lynwood,COOK
85-2367424,"Hydy, Inc.",1,1,Chicago,COOK
85-2278634,"LHP Engineering Solutions LLC",1,1,"Oak Brook",DUPAGE
85-2103566,"Digital Cloud Associates LLC",1,1,"Oak Brook",DUPAGE
85-2039256,"Recidiviz Inc.",1,1,Chicago,COOK
85-1771988,"ArmorCode Inc",1,1,Plainfield,WILL
85-1708316,"TechForce Staffing Inc.",1,1,Chicago,COOK
85-1677973,"Looife Inc.",1,1,"Buffalo Grove",LAKE
85-1674592,"Otis Technology LLC",1,1,Chicago,COOK
85-1611322,"Volto Consulting & Services LLC",1,1,Schaumburg,COOK
85-1387944,"BLST Operating Company, LLC",1,1,Plainfield,WILL
85-1344861,"VTech Infotech LLC",1,1,Riverwoods,LAKE
85-1211181,"Novos Solutions LLC",1,1,Joliet,WILL
85-1180910,"Trident Point USA LLC",1,1,Warrenville,DUPAGE
85-1131109,"Marshall Trans Inc.",1,1,"Willow Springs",COOK
85-1011936,"Synergy Works Group, LLC.",1,1,Chicago,COOK
85-0999036,"My Wisconsin Dental",1,1,"Arlington Heights",COOK
85-0948843,"Rain Corporation",1,1,Chicago,COOK
85-0855127,"American Industrial Transport, Inc.",1,1,Chicago,COOK
85-0756268,"RELIANT FUND SERVICES LLC",1,1,"DES PLAINES",COOK
85-0614670,"HND Solutions LLC",1,1,Chicago,COOK
85-0576469,"FRANKLAR TECHNOLOGIES LLC",1,1,Northbrook,COOK
84-6000545,"Colorado State University",1,1,Batavia,DUPAGE
84-5043306,"NewCold USA Services LLC",1,1,Chicago,COOK
84-4952044,"FIRMINIQ, Inc",1,1,"Hoffman Estates",COOK
84-4823478,"Mahoney Environmental Solutions, LLC",1,1,Woodridge,DUPAGE
84-4790748,"Tequity Partners LLC",1,1,Chicago,COOK
84-4781570,"Accelerated Global Solutions Inc.",1,1,"Elk Grove Village",COOK
84-4775539,"DYOPATH, LLC",1,1,HUNTLEY,MCHENRY
84-4711015,"Paul Anthony",1,1,Chicago,COOK
84-4636219,"Zenblen, Inc.",1,1,Chicago,COOK
84-4622199,"Estia Management Co",1,1,Chicago,COOK
84-4490805,"Magma Capital Management LLC",1,1,Chicago,COOK
84-4449552,"TekInsta, Inc.",1,1,Chicago,COOK
84-4368512,"CSI 3000 Transport Corp.",1,1,Cicero,COOK
84-4194391,"AES CLEAN ENERGY SERVICES, LLC",1,1,"Villa Park",DUPAGE
84-4169233,"Fer Surveying Inc",1,1,"Mount Prospect",COOK
84-4120116,"WEST LOOP STRATEGY LLC",1,1,Chicago,COOK
84-4120020,"Pageone Systems Inc.",1,1,"Arlington Heights",COOK
84-4051565,"SANAV TECHNOLOGIES LLC",1,1,CHICAGO,COOK
84-4035684,"RIT Solutions Inc.",1,1,Plainfield,WILL
84-4001809,"America Leader Electric Appliance Inc",1,1,Schaumburg,COOK
84-3965623,"Pacific Construction Services LLC",1,1,Chicago,COOK
84-3877722,"Sotera Health",1,1,"Oak Brook",DUPAGE
84-3811689,"Ascend Technologies LLC",1,1,Chicago,COOK
84-3728054,"Baker McKenzie Advisory Services P.C.",1,1,Chicago,COOK
84-3693693,"Cast AI Group Inc.",1,1,"Hickory Hills",COOK
84-3667981,"Tech Abstractor LLC",1,1,Chicago,COOK
84-3572063,"Seyfried Vicario, P.C.",1,1,Chicago,COOK
84-3377790,"VRK IT VISION, INC.",1,1,"Buffalo Grove",LAKE
84-3327115,"xMentium, Inc.",1,1,Evanston,COOK
84-3219818,"Planet Infotech LLC",1,1,Naperville,DUPAGE
84-3188007,"Revel IT, Inc.",1,1,Chicago,COOK
84-3090463,"Wang Law LLC",1,1,Chicago,COOK
84-3009924,"Cardio Diagnostics Inc.",1,1,Chicago,COOK
84-2994451,"Cuesta Partners LLC",1,1,Chicago,COOK
84-2953741,"Big Taurus Logistics Inc",1,1,"Franklin Park",COOK
84-2700843,"PACIFIC SURFACES LLC DBA SURFACES BY PACIFIC",1,1,"ELK GROVE VILLAGE",COOK
84-2661731,"Benefit Trucking, LLC",1,1,"Chicago Ridge",COOK
84-2600764,QuaXigma,1,1,Schaumburg,COOK
84-2526094,"Concor IT Solutions Inc",1,1,Libertyville,LAKE
84-2413472,"Yum Connect, LLC",1,1,"Rolling Meadows",COOK
84-2393515,"Cohere Health, Inc.",1,1,Schaumburg,COOK
84-2366520,"EOS Mechanical Inc.",1,1,Elmhurst,DUPAGE
84-2258198,"Kognitive Networks Inc. (f.k.a K4 Mobility Inc.)",1,1,Itasca,DUPAGE
84-2209337,"Acceleron Corp",1,1,Chicago,COOK
84-2113306,"BorgWarner Transmission Products LLC",1,1,Bellwood,COOK
84-1924639,"Above Lending, Inc.",1,1,Chicago,COOK
84-1842209,"Virtual Emotion Resource Network, LLC - Tucknologies Holdings, Inc.",1,1,Chicago,COOK
84-1808991,"LUXCREO INC",1,1,Chicago,COOK
84-1502378,"Global Healthcare Exchange Inc.",1,1,Aurora,DUPAGE
84-1336269,"Individual Advantages LLC",1,1,"West Dundee",KANE
84-0911610,"Translogic Corporation",1,1,Schaumburg,COOK
84-0904275,"Hanger, Inc.",1,1,Chicago,COOK
84-0846841,"ADVANCED ENERGY INDUSTRIES, INC.",1,1,"Elmwood Park",COOK
84-0830599,"Munters Corporation",1,1,Chicago,COOK
83-4630792,"Marrina Decisions LLC",1,1,Chicago,COOK
83-4381477,"Shortform Inc.",1,1,Chicago,COOK
83-4376982,"Sysmex R&D Center Americas, Inc.",1,1,Mundelein,LAKE
83-4359821,"iLife Technologies, Inc.",1,1,Chicago,COOK
83-4340413,"Mergers & Acquisitions Roundtable, LLC",1,1,Chicago,COOK
83-4314180,"WONDERLAND KIDS ACADEMY LLC",1,1,"FOX RIVER GROVE",MCHENRY
83-4230229,"Granthium Corporation",1,1,Schaumburg,COOK
83-4141021,"CogniSure, Inc.",1,1,Naperville,DUPAGE
83-4013155,"VEREGY, LLC",1,1,Cary,MCHENRY
83-3939732,"Tresbu Digital Inc",1,1,LIBERTYVILLE,LAKE
83-3727943,"TECHNOLOGY SQUARE INC.",1,1,CHICAGO,COOK
83-3688338,"Ashley Tech Solutions Inc",1,1,Naperville,DUPAGE
83-3638578,"E-CQR INC.",1,1,Waukegan,LAKE
83-3609704,"Double Good Management, Inc.",1,1,Chicago,COOK
83-3584305,"Rx Transport LLC",1,1,"Homer Glen",COOK
83-3405343,"Element Energy, Inc.",1,1,Chicago,COOK
83-3398454,"Jin Ramen Inc",1,1,Bolingbrook,WILL
83-3388563,"Constructive Dialogue Institute, Inc.",1,1,Chicago,COOK
83-3379603,"Inbound Partners-LLC",1,1,Chicago,COOK
83-3292288,"SOFTTUNE TECHNOLOGIES INC",1,1,"ELK GROVE VILLAGE",COOK
83-3224197,"INTELLIPRO SERVICE INC.",1,1,Lisle,DUPAGE
83-3083923,"Brightgrove, Inc.",1,1,Northbrook,COOK
83-3074607,"Hooli Homes Illinois Inc.",1,1,Chicago,COOK
83-2961593,"ZEETO TECHNOLOGIES, INC.",1,1,Schaumburg,COOK
83-2957933,"SM INTERFACE SYSTEMS LLC",1,1,Roselle,DUPAGE
83-2945717,"SYSTECHCORP, INC.",1,1,METTAWA,LAKE
83-2869101,"Symboticware Corp.",1,1,Naperville,DUPAGE
83-2868267,"Livly, Inc.",1,1,Chicago,COOK
83-2854274,"JASON SAGER & ASSOCIATES INC.",1,1,"Mt Prospect",COOK
83-2824649,"Ruri Software Technologies LLC",1,1,Deerfield,LAKE
83-2755431,"Tuppl Technologies Inc.",1,1,"Lake Bluff",LAKE
83-2752991,"Fedele and Associates, Inc.",1,1,Homewood,COOK
83-2712767,"V3Tech Solutions Inc",1,1,Chicago,COOK
83-2687382,"Duraco Specialty Tapes LLC",1,1,"Forest Park",COOK
83-2656418,"APTDATA SOLUTIONS INC",1,1,Deerfield,LAKE
83-2593633,"Tech IT Solutions, Inc",1,1,Lisle,DUPAGE
83-2542851,"CALABITEK INC",1,1,"Buffalo Grove",LAKE
83-2531813,"BRAINS TECHNOLOGY SOLUTIONS, INC",1,1,Aurora,DUPAGE
83-2281671,"Yourco, Inc.",1,1,Chicago,COOK
83-2249899,"Translead Group Inc.",1,1,"Wood Dale",DUPAGE
83-2213627,"Grow Softwares LLC",1,1,Chicago,COOK
83-2174849,"Radiance Engineering LLC",1,1,"Des Plaines",COOK
83-2162372,"MEMX, LLC",1,1,Naperville,DUPAGE
83-2100644,"MAKE TECHNOLOGY LLC",1,1,SCHAUMBURG,COOK
83-2067569,"TechVirtue LLC",1,1,Chicago,COOK
83-1997365,"MBN Trucking LLC",1,0,Chicago,COOK
83-1989092,"TECHPRO SOLUTIONS, INC.",1,1,CHICAGO,COOK
83-1867004,"Peach Finance Inc.",1,1,Chicago,COOK
83-1865584,"CONTRIVA INC",1,1,Chicago,COOK
83-1864271,"UNITEDTEKGROUP INC.",1,1,Wheeling,COOK
83-1645531,"K Exports LLC",1,1,Libertyville,LAKE
83-1629418,"Teleflex LLC",1,1,Chicago,COOK
83-1519339,"Twin Health, Inc.",1,1,Chicago,COOK
83-1510950,"GROUP 1001 RESOURCES, LLC",1,1,"Park Ridge",COOK
83-1399348,"Credera Enterprises Company LLC",1,1,Chicago,COOK
83-1385293,"Techno9 Solutions, Inc.",1,1,Northfield,COOK
83-1371664,"Archer Dentistry, LLC",1,1,Chicago,COOK
83-1358650,"HPE Consulting, Inc.",1,1,Chicago,COOK
83-1336466,"Fortitude Group Services, Inc",1,1,Chicago,COOK
83-1253030,"Logiwa Technology, Inc.",1,1,Chicago,COOK
83-1243225,"Netresolute Inc.",1,1,Chicago,COOK
83-1192196,"Pilvi Systems Inc.",1,1,Grayslake,LAKE
83-1185597,"Mastery Logistics Systems, Inc.",1,1,Naperville,DUPAGE
83-1168438,"ALPHOSOFT, INC.",1,1,NORTHBROOK,COOK
83-0990832,"Gauntlet Networks, Inc.",1,1,Chicago,COOK
83-0844301,"Boombox Beverage LLC",1,1,Skokie,COOK
83-0795636,"Vouch, Inc.",1,1,Chicago,COOK
83-0792990,"VNVK LLC",1,1,Chicago,COOK
83-0774925,"1Rivet International Inc.",1,1,Schaumburg,COOK
83-0663273,"Premier Early Childhood Education Partners LLC",1,1,Chicago,COOK
83-0632724,"GRID DYNAMICS HOLDINGS, INC.",1,1,Schaumburg,COOK
83-0598544,"CCSI-Case Coordination, LLC",1,1,Chicago,COOK
83-0598308,"Wabtec US Rail, Inc.",1,1,Naperville,DUPAGE
83-0557612,"ITIS Pro Group LLC",1,1,Chicago,COOK
83-0417135,"Medtelligent Inc.",1,1,Chicago,COOK
83-0377017,"Framestore, Inc.",1,1,Chicago,COOK
83-0367281,"Hadi School NFP",1,1,Schaumburg,COOK
83-0363253,"Rawat Foods Inc",1,1,Wheaton,DUPAGE
82-5521377,"Universal Business Solutions Inc",1,1,Aurora,DUPAGE
82-5511549,"Warp Drive, Inc.",1,1,Northbrook,COOK
82-5452438,"Aviskaran LLC",1,1,Chicago,COOK
82-5438579,"NEXZENTEK SOLUTIONS, INC.",1,1,BOLINGBROOK,WILL
82-5393001,"Vitharka Inc",1,1,SCHAUMBURG,COOK
82-5300625,"CIL Management Consultants, Inc",1,1,Chicago,COOK
82-5287745,"ManifestHQ, Inc.",1,1,Chicago,COOK
82-4950578,"Mizuho Americas Services LLC",1,1,Chicago,COOK
82-4907749,"Ehomie Chicago Inc.",1,1,Chicago,COOK
82-4875983,"Abnormal AI, Inc.",1,1,Evanston,COOK
82-4873587,"Trendspider LLC",1,1,Deerfield,LAKE
82-4851425,"RESIDEO LLC",1,1,AURORA,DUPAGE
82-4828973,"MTX Group, Inc.",1,1,Wheeling,COOK
82-4606641,"Savvas Learning Company LLC",1,1,Northbrook,COOK
82-4533734,"WEST COAST CARGO INC",1,1,"Elk Grove Village",COOK
82-4431074,"GLOBEX IT SOLUTIONS, INC.",1,1,ELGIN,KANE
82-4417163,"Sunlight Technologies Inc",1,1,Schaumburg,COOK
82-4413710,"LEARNBEYOND CONSULTING, LLC.",1,1,CHICAGO,COOK
82-4396992,"Quick Silver Systems, Inc.",1,1,"Des Plaines",COOK
82-4253275,"Ocient Inc",1,1,Chicago,COOK
82-4114714,"NOCD, Inc.",1,1,Chicago,COOK
82-4001510,"WissenIT INC",1,1,Lisle,DUPAGE
82-3914317,"Merit American Technologies Inc",1,1,Northbrook,LAKE
82-3703194,"Mundelein Dental Clinic, LLC",1,1,Mundelein,LAKE
82-3627192,"Spice House, LLC",1,1,"Elk Grove Village",COOK
82-3597535,"PREMIUM PEOPLE GROUP, LLC.",1,1,CHICAGO,COOK
82-3428840,"Prism Enterprise Solutions Inc",1,1,Palatine,COOK
82-3428757,"V2 Innovations Inc",1,1,Chicago,COOK
82-3384877,"SIMBA Chain, Inc.",1,1,Chicago,COOK
82-3307131,"Codeignitors, Inc",1,1,AURORA,DUPAGE
82-3283791,"NAVA Software Solutions LLC",1,1,"Oakbrook Terrace",DUPAGE
82-3263554,"Alpine Supply Chain Solutions Ltd",1,1,Elgin,KANE
82-3078785,"Arch & Lake LLP",1,1,Chicago,COOK
82-2986155,"Ashling Partners LLC",1,1,Naperville,DUPAGE
82-2977052,"Cerberus US Servicing, LLC",1,1,Chicago,COOK
82-2837479,"Dialysis Care Center Management, LLC",1,1,"Homer Glen",WILL
82-2810953,"Atlas Technical Consultants LLC",1,1,Chicago,COOK
82-2796337,"Utech Global LLC",1,1,"Oakbrook Terrace",DUPAGE
82-2772146,"A Plus Total Financial Solutions Inc.",1,1,"South Elgin",KANE
82-2755477,"Origin Specialty Underwriters",1,1,Chicago,COOK
82-2713799,"Jupiter Power LLC",1,1,Chicago,COOK
82-2645926,"OSEH Inc.",1,1,Wheaton,DUPAGE
82-2635353,"Tyndale House Ministries",1,1,"Carol Stream",DUPAGE
82-2552783,"Behavioral Health Practice Services LLC",1,1,"Arlington Heights",COOK
82-2545850,"The Lamar Johnson Collaborative, Inc.",1,1,Chicago,COOK
82-2532209,"Tessil Logistics Inc.",1,1,"Elk Grove Village",COOK
82-2518182,"Valqari, LLC",1,1,Lombard,DUPAGE
82-2316678,"NORTEK CONSULTING INC",1,1,"Buffalo Grove",LAKE
82-2245503,"PIONEER CONSULTING LLC",1,1,Chicago,COOK
82-2221414,"Wieland Thermal Solutions, Inc.",1,1,Wheeling,COOK
82-2212499,"Depth Counseling Services PC",1,1,Chicago,COOK
82-2099477,"BRAVO COMPANY ENGINEERING INC",1,1,Lisle,DUPAGE
